SKU;Descripcion;TIPO
40046195;"TAPON DE 20 MM";"ESTANDAR"
40046189;"TEE REDUCIDA CENTR 25X20MM";"ESTANDAR"
40046190;"TAPON DE 25 MM";"ESTANDAR"
40025224;"TEE ROSCA CENTRA HEMBRA 32 X 1""";"ESTANDAR"
40025238;"TAPÓN DE 32 MM";"ESTANDAR"
40046186;"TEE REDUCIDA EXTREM 20X25MM";"ESTANDAR"
40025098;"CODO 90º DE 32 MM";"ESTANDAR"
40025232;"REDUCCIÓN 32 X 25 MM";"ESTANDAR"
40046184;"TEE REDUCIDA EXTREM 25X20MM";"ESTANDAR"
40025233;"COPLE DE 32 MM";"ESTANDAR"
40046175;"CONECTOR HEMBR DE 25MMX1/2";"ESTANDAR"
40046177;"REDUCCION DE 25 X 20 MM";"ESTANDAR"
40026766;"CODO 45º DE 20 MM";"ESTANDAR"
40046199;"CODO A 90 DE 25 MM";"ESTANDAR"
40046194;"CODO A 90 DE 20 MM";"ESTANDAR"
40046182;"TEE ROSC CEN MACHO 20MMX1/2";"ESTANDAR"
40025231;"REDUCCIÓN 32 X 20 MM";"ESTANDAR"
40025222;"TEE REDUCIEXTREMA/CEN 32X20X25";"ESTANDAR"
40025210;"CODO 90º ROSCA HEMBRA 32 X 1/2""";"ESTANDAR"
40046193;"TEE ROSCACEN HEMBR 20MMX1/2";"ESTANDAR"
40025221;"TEE REDUCI EXTREMA 32 X 25 X 32";"ESTANDAR"
40026356;"CODO 45º DE 25 MM";"ESTANDAR"
40025218;"TEE REDUCI EXTREMA 32 X 20 X 20";"ESTANDAR"
40025216;"TEE REDUCID CENTR 32 X 32 X 20";"ESTANDAR"
40046192;"CODO90 ROSCAHEMBRA 20MMX1/2";"ESTANDAR"
40025223;"TEE REDUCEXTREMA/CEN 32X25X20";"ESTANDAR"
40054252;"CODO 45º DE 40 mm";"ESTANDAR"
40025220;"TEE REDUCI EXTREMA 32 X 25 X 25";"ESTANDAR"
40025211;"CODO 90º ROSCA HEMBRA 32 X 3/4""";"ESTANDAR"
40025219;"TEE REDUCI EXTREMA 32X 20 X 32";"ESTANDAR"
40025217;"TEE REDUCIDA CENTR 32 X 32 X 25";"ESTANDAR"
