SKU;Familia;Descripcion
40025224;HIDRAULICA;"TEE ROSCA CENTRA HEMBRA 32 X 1"""
40021993;HIDRAULICA;TERMOFUSOR 800W C/COMPONENTES
40046188;HIDRAULICA;TUERCA UNION MIXT 25MMX3/4
40025240;HIDRAULICA;"TUERCA UNIÓN MIXTA 32 X """
40021981;HIDRAULICA;TUBO CLASE 16 DE 32 MM 4mts
40040409;HIDRAULICA;TUERCA UNION MIXTA 20MMX1/2
40025099;HIDRAULICA;"CODO 90º ROSCA HEMBRA 32 X """
40025211;HIDRAULICA;"CODO 90º ROSCA HEMBRA 32 X 3/"""
40046175;HIDRAULICA;CONECTOR HEMBR DE 25MMX1/2
40046182;HIDRAULICA;TEE ROSC CEN MACHO 20MMX1/2
40025210;HIDRAULICA;"CODO 90º ROSCA HEMBRA 32 X 1/"""
40025212;HIDRAULICA;"CODO 90º ROSCA MACHO 32 X """
40025214;HIDRAULICA;"CODO 90º ROSCA MACHO 32 X 3/"""
40025228;HIDRAULICA;TEE CON ROSCA CENTRAL MACHO 32X1
40025226;HIDRAULICA;TEE C/ROSCA CENTRAL HEMB 32X3/4
40025234;HIDRAULICA;"CONECTOR HEMBRA 32 X 1"""
40021986;HIDRAULICA;TERMOFUSOR 600W CON ACCESORIOS
40025227;HIDRAULICA;TEE C/ROSCA CENTRAL HEMB.25X1/2
40025235;HIDRAULICA;"CONECTOR HEMBRA 32 X 3/4"""
40025229;HIDRAULICA;TEE C/ROSCA CENTRA MACHO 32X1/2
40025225;HIDRAULICA;TEE ROSCA CENTRA HEMBRA 32X1/2
40025230;HIDRAULICA;TEE C/ ROSCA CENTRA MACH 32X3/4
40046193;HIDRAULICA;TEE ROSCACEN HEMBR 20MMX1/2
40046197;HIDRAULICA;CODO90 ROSCAMACHO 20MMX1/2
40025213;HIDRAULICA;"CODO 90º ROSCA MACHO 32 X 1/"""
40046198;HIDRAULICA;CONECTOR MACHO DE 25MMX /2
40046180;HIDRAULICA;CODO 90 ROSCAMACHO 25MMX3/4
40025222;HIDRAULICA;TEE REDUCIEXTREMA/CEN 32X20X25
40046181;HIDRAULICA;TEE ROSC CEN MACHO 25MMX3/4
40026764;HIDRAULICA;JUEGO DE LLAVES PARA REG 20MM
40025239;HIDRAULICA;TUERCA UNIÓN 32 X 3
40046196;HIDRAULICA;TUERCA UNION DE 20 X 20 MM
40054252;HIDRAULICA;CODO 45º DE 40 m
40025223;HIDRAULICA;TEE REDUCEXTREMA/CEN 32X25X20
40046200;HIDRAULICA;TUERCA UNION DE 25 X 25 MM
40025218;HIDRAULICA;TEE REDUCI EXTREMA 32 X 20 X 20
40046192;HIDRAULICA;CODO90 ROSCAHEMBRA 20MMX1/2
40025216;HIDRAULICA;TEE REDUCID CENTR 32 X 32 X 20
40021980;HIDRAULICA;TUBO CLASE 16 DE 20 MM 4mts
40021979;HIDRAULICA;TUBO CLASE 16 DE 25 MM 4mts
40025237;HIDRAULICA;"CONECTOR MACHO 32 X 3/4"""
40025098;HIDRAULICA;CODO 90º DE 32 M
40046189;HIDRAULICA;TEE REDUCIDA CENTR 25X20MM
40046195;HIDRAULICA;TAPON DE 20 MM
40046186;HIDRAULICA;TEE REDUCIDA EXTREM 20X25MM
40025217;HIDRAULICA;TEE REDUCIDA CENTR 32 X 32 X 25
40025220;HIDRAULICA;TEE REDUCI EXTREMA 32 X 25 X 25
40046202;HIDRAULICA;CONECTOR MACHO DE 25MMX3/4
40025221;HIDRAULICA;TEE REDUCI EXTREMA 32 X 25 X 32
40025238;HIDRAULICA;TAPÓN DE 32 M
40025219;HIDRAULICA;TEE REDUCI EXTREMA 32X 20 X 32
40025236;HIDRAULICA;"CONECTOR MACHO 32 X 1"""
40046184;HIDRAULICA;TEE REDUCIDA EXTREM 25X20MM
40025233;HIDRAULICA;COPLE DE 32 MM
40025232;HIDRAULICA;REDUCCIÓN 32 X 25 M
40046190;HIDRAULICA;TAPON DE 25 MM
40046201;HIDRAULICA;CONECTOR HEMBRA DE 20MMX1/2
40025215;HIDRAULICA;TEE DE 32 MM
40046183;HIDRAULICA;TEE ROSCACEN HEMBRA25MMX3/4
