SKU;Descripcion
40046195;TAPON DE 20 MM
40046189;TEE REDUCIDA CENTR 25X20MM
40046190;TAPON DE 25 MM
40025224;"TEE ROSCA CENTRA HEMBRA 32 X 1"""
40025238;TAPÓN DE 32 MM
40046186;TEE REDUCIDA EXTREM 20X25MM
40025098;CODO 90º DE 32 MM
40025232;REDUCCIÓN 32 X 25 MM
40046184;TEE REDUCIDA EXTREM 25X20MM
40025233;COPLE DE 32 MM
40046175;CONECTOR HEMBR DE 25MMX1/2
40046177;REDUCCION DE 25 X 20 MM
40026766;CODO 45º DE 20 MM
40046199;CODO A 90 DE 25 MM
40046194;CODO A 90 DE 20 MM
40046182;TEE ROSC CEN MACHO 20MMX1/2
40025231;REDUCCIÓN 32 X 20 MM
40025222;TEE REDUCIEXTREMA/CEN 32X20X25
40025210;"CODO 90º ROSCA HEMBRA 32 X 1/2"""
40046193;TEE ROSCACEN HEMBR 20MMX1/2
40025221;TEE REDUCI EXTREMA 32 X 25 X 32
40026356;CODO 45º DE 25 MM
40025218;TEE REDUCI EXTREMA 32 X 20 X 20
40025216;TEE REDUCID CENTR 32 X 32 X 20
40046192;CODO90 ROSCAHEMBRA 20MMX1/2
40025223;TEE REDUCEXTREMA/CEN 32X25X20
40054252;CODO 45º DE 40 mm
40025220;TEE REDUCI EXTREMA 32 X 25 X 25
40025211;"CODO 90º ROSCA HEMBRA 32 X 3/4"""
40025219;TEE REDUCI EXTREMA 32X 20 X 32
40025217;TEE REDUCIDA CENTR 32 X 32 X 25
40022052;FLOTADOR # 3
40025227;TEE C/ROSCA CENTRAL HEMB.25X1/2
40046198;CONECTOR MACHO DE 25MMX /2
40046197;CODO90 ROSCAMACHO 20MMX1/2
40025215;TEE DE 32 MM
40025235;"CONECTOR HEMBRA 32 X 3/4"""
40025097;CODO 45º DE 32 MM
40046211;TEE DE 25 MM
40046179;TEE DE 20 MM
40025226;TEE C/ROSCA CENTRAL HEMB 32X3/4
40025225;TEE ROSCA CENTRA HEMBRA 32X1/2
40025214;"CODO 90º ROSCA MACHO 32 X 3/4"""
40022053;MULTICONECTOR
40046202;CONECTOR MACHO DE 25MMX3/4
40046188;TUERCA UNION MIXT 25MMX3/4
40046180;CODO 90 ROSCAMACHO 25MMX3/4
40025213;"CODO 90º ROSCA MACHO 32 X 1/2"""
40025099;"CODO 90º ROSCA HEMBRA 32 X 1"""
40046178;COPLE DE 25 MM
40046201;CONECTOR HEMBRA DE 20MMX1/2
40025229;TEE C/ROSCA CENTRA MACHO 32X1/2
40046181;TEE ROSC CEN MACHO 25MMX3/4
40021981;TUBO CLASE 16 DE 32 MM 4mts
40026767;PICHANCHA
40021980;TUBO CLASE 16 DE 20 MM 4mts
40025230;TEE C/ ROSCA CENTRA MACH 32X3/4
40026353;VALVULA ESFERA PPR 25MM
40025234;"CONECTOR HEMBRA 32 X 1"""
40046196;TUERCA UNION DE 20 X 20 MM
40025237;"CONECTOR MACHO 32 X 3/4"""
40040409;TUERCA UNION MIXTA 20MMX1/2
40025212;"CODO 90º ROSCA MACHO 32 X 1"""
40025228;TEE CON ROSCA CENTRAL MACHO 32X1
40046200;TUERCA UNION DE 25 X 25 MM
40027922;"VALVULA DE ESFERA 3/4"""
40022049;VALVULA DE LLENADO 3/4 PLG
40025240;"TUERCA UNIÓN MIXTA 32 X 1"""
40046187;COPLE DE 20 MM
40026354;VALVULA DE ESFERA 20 M
40022050;FLOTADOR # 7
40022047;ELECTRONIVEL 3 MTS
40046183;TEE ROSCACEN HEMBRA25MMX3/4
40021979;TUBO CLASE 16 DE 25 MM 4mts
40046185;CODO 90 ROSCAHEMBR 25MMX3/4
40046191;CONECTOR HEMBRA 25MM X 3/4
40054490;"CODO 90º ROSCA HEMBRA 25 x 1/2"""
